Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/3/2019,AQS,420030002,1,7.8,ug/m3 LC,33,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/6/2019,AQS,420030002,1,6.2,ug/m3 LC,26,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/9/2019,AQS,420030002,1,4.7,ug/m3 LC,20,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/12/2019,AQS,420030002,1,11.6,ug/m3 LC,48,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/15/2019,AQS,420030002,1,14.5,ug/m3 LC,56,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/18/2019,AQS,420030002,1,15.7,ug/m3 LC,59,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/21/2019,AQS,420030002,1,5.3,ug/m3 LC,22,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/24/2019,AQS,420030002,1,7.2,ug/m3 LC,30,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/27/2019,AQS,420030002,1,8.1,ug/m3 LC,34,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/30/2019,AQS,420030002,1,5,ug/m3 LC,21,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
2/8/2019,AQS,420030002,1,4.4,ug/m3 LC,18,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
2/11/2019,AQS,420030002,1,14.6,ug/m3 LC,56,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
2/14/2019,AQS,420030002,1,7.8,ug/m3 LC,33,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
2/17/2019,AQS,420030002,1,6.4,ug/m3 LC,27,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
2/20/2019,AQS,420030002,1,7,ug/m3 LC,29,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/4/2019,AQS,420030002,1,7.4,ug/m3 LC,31,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/7/2019,AQS,420030002,1,16.6,ug/m3 LC,60,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/10/2019,AQS,420030002,1,7.2,ug/m3 LC,30,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/13/2019,AQS,420030002,1,13.1,ug/m3 LC,53,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/16/2019,AQS,420030002,1,3.8,ug/m3 LC,16,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/19/2019,AQS,420030002,1,12.2,ug/m3 LC,51,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/22/2019,AQS,420030002,1,6.1,ug/m3 LC,25,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/25/2019,AQS,420030002,1,9.6,ug/m3 LC,40,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/28/2019,AQS,420030002,1,11.5,ug/m3 LC,48,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
3/31/2019,AQS,420030002,1,2.7,ug/m3 LC,11,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/3/2019,AQS,420030002,1,8.9,ug/m3 LC,37,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/6/2019,AQS,420030002,1,11.8,ug/m3 LC,49,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/9/2019,AQS,420030002,1,7.3,ug/m3 LC,30,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/12/2019,AQS,420030002,1,8.1,ug/m3 LC,34,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/15/2019,AQS,420030002,1,3.7,ug/m3 LC,15,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/18/2019,AQS,420030002,1,13.2,ug/m3 LC,53,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/21/2019,AQS,420030002,1,4.3,ug/m3 LC,18,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/24/2019,AQS,420030002,1,5.3,ug/m3 LC,22,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/27/2019,AQS,420030002,1,4,ug/m3 LC,17,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
4/30/2019,AQS,420030002,1,6.6,ug/m3 LC,28,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/3/2019,AQS,420030002,1,11.5,ug/m3 LC,48,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/6/2019,AQS,420030002,1,9.3,ug/m3 LC,39,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/9/2019,AQS,420030002,1,10.8,ug/m3 LC,45,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/12/2019,AQS,420030002,1,4,ug/m3 LC,17,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/15/2019,AQS,420030002,1,8.2,ug/m3 LC,34,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/18/2019,AQS,420030002,1,11.8,ug/m3 LC,49,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/21/2019,AQS,420030002,1,3,ug/m3 LC,13,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
5/27/2019,AQS,420030002,1,6.5,ug/m3 LC,27,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/2/2019,AQS,420030002,1,11.8,ug/m3 LC,49,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/8/2019,AQS,420030002,1,10.3,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/14/2019,AQS,420030002,1,5,ug/m3 LC,21,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/20/2019,AQS,420030002,1,6.7,ug/m3 LC,28,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
6/26/2019,AQS,420030002,1,11.1,ug/m3 LC,46,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/2/2019,AQS,420030002,1,13,ug/m3 LC,53,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/8/2019,AQS,420030002,1,12.5,ug/m3 LC,52,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/14/2019,AQS,420030002,1,9.9,ug/m3 LC,41,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/20/2019,AQS,420030002,1,16,ug/m3 LC,59,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
7/26/2019,AQS,420030002,1,12.5,ug/m3 LC,52,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/1/2019,AQS,420030002,1,11.1,ug/m3 LC,46,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/7/2019,AQS,420030002,1,10.8,ug/m3 LC,45,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
8/13/2019,AQS,420030002,1,10.3,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
